"sbnk_code","sbnk_bbranch_code","sbnk_area_code","sbnk_name","sbnk_bbranch_name","sbnk_short_name","sbnk_acc_no","sbnk_siscon_code","sbnk_branch_code","sbnk_state_code","sbnk_account_type","sbnk_highval_flg","sbnk_overdraft_flg","sbnk_overdraft_limit","sbnk_current_bal","sbnk_acc_code","sbnk_deleted_flg","sbnk_ts_created","sbnk_created_by","sbnk_ts_edited","sbnk_edited_by","sbnk_parent_bank","sbnk_parent_branch","sbnk_online_issue","sbnk_online_receipt","sbnk_blocked_flg","sbnk_cust_code"
b34,b34,a1,State Bank of India,Hyderabad,SBI-HYD,,"09","11","07",,N,N,0,0,A6022,N,2013-09-19 11:13:25.000,"0010",,,"002","000",,N,,
b37,b37,a1,HDFC Bank(NMTEL),Mumbai,HDFCNMTL,"01432320015131 ","14","16",,,N,N,0,0,A6074,N,2015-03-24 12:55:15.000,"0010",,,"240","002",,N,,
b44,b44,a1,State Bank of India,K R Road,SBI_DLT,"35858731366","23","25","03",,N,N,0,0,A6096,N,2016-07-14 11:39:34.000,"0010",,,,,,N,,
b45,b45,a1,Kotak Mahindra Bank,NKC Branch,KTM_DLT,"9512352195","23","25","03",,N,N,0,0,A6097,N,2016-07-14 11:40:19.000,"0010",,,"485","000",,N,,
b46,b46,a1,Kotak Mahindra Bank,Mumbai,KTM_MUM,,"04","06","01",,N,N,0,0,A6099,N,2016-10-13 14:15:07.000,"0010",,,"002","000",,N,Y,
b49,b49,,HDFC Bank,Bangalore,HDFC,"5092320003190","27","29","03",,N,N,0,0,A6017,N,2017-06-08 11:40:32.000,"0010",,,"240","002",,N,,
b47,b47,a1,HDFC BANK LTD (NMLB) 50200021560820,Mumbai,HDFC,,"04","06","01",,N,N,0,0,A6098,N,2016-11-24 13:55:11.000,"0010",,,,,,N,N,
b54,b54,,HDFC BANK,Mumbai,hdfc,,"29","31","01",,N,N,0,0,A6106,N,2017-10-12 16:53:40.000,"0010",,,,,,N,,
b55,b55,,CITI Bank,Mumbai,CITI,"0713906018","04","06","01",,N,N,0,0,A6111,N,2018-02-07 09:22:51.000,"0010",,,"037","000",,N,,
b56,b56,,HDFC BANK,CRAWFORD MKT,HDFC,"50200030520763","30","32","01",,N,N,0,0,A6115,N,2018-05-11 11:52:04.000,"0010",,,"240","002",,N,,
b60,b60,,State Bank of India (Mandvi),MANDVI,SBIM,"40707653813","04","06","01",,N,N,0,0,A6124,N,2022-01-12 12:09:00.000,"0010",,,"002","000",,N,,
b65,b65,,DBS Bank,Banglore,DBS,"8827200000006248","36","38","03",,N,N,,0,A6130,N,2023-04-08 15:48:30.000,"0010",,,"400","641",,N,,
b69,b69,,AXIS BANK LTD ,Rajsjinagar,AXISBK,"920020058146980","37","39","03",,N,N,,0,A6137,N,2023-06-07 19:20:21.000,"0010",,,"211","002",,N,,
b71,b71,,DBS Bank India Ltd,Mumbai,DBS,"8853210000006286","41","43","01",,N,N,,0,A6130,N,2023-08-11 12:27:08.000,"0010",,,"400","641",,N,,
b72,b72,,DBS Bank India Limited,BangaloreMain,DBS,"8827200000021924","23","25","03",,N,N,,0,A6140,N,2024-02-28 21:29:42.000,"9999",,,"400","641",,N,,
b74,b74,,HDFC BANK LTD,"Prashanth Nagar, Bengaluru",HDFC,"99929449800800","48","50","03",,N,N,,0,A6072,N,2024-07-18 09:45:15.000,"9999",,,"240","002",,N,,
b59,b59,"1",HDFC BANK - MOHAMEDALI RD A/C,MOHAMMADALI RD,HDFC,"50200053568781","99","99","01",,N,N,0,0,A6122,N,2020-12-19 10:54:06.000,"0010",,,"240","002",,N,,
b63,b63,,ICICI BANK,SIYANGAN,ICI,A6127,"32","34","09",,N,N,,0,A6127,N,2022-08-29 17:10:12.000,"0010",,,"229","000",,N,,
b66,b66,,DBS Bank,Chennai,DBSC,"8827200000006248","34","36","05",,N,N,,0,A6130,N,2023-04-08 15:54:37.000,"0010",,,"400","641",,N,,
b73,b73,,Indusind Bank,Mumbai,INDB,,"41","43","01",,N,N,,0,A6141,N,2024-03-04 21:05:01.000,"9999",,,"234","002",,N,,
b75,b75,,Standard Chartered Bank Channel Finance,Bangalore,SCB,,"36","38","03",,N,N,,0,A6150,N,2024-12-16 14:12:48.000,"9999",,,"036","000",,N,,
b58,b58,,CITI BANK (AC 0065372118),"LINKING ROAD, KHAR",CITI,"0065372118","30","32","01",,N,N,0,0,A6121,N,2020-10-12 17:31:17.000,"0010",,,"037","000",,N,,
b77,b77,,DBS BANK INDIA LTD,Bangalore,DBS,"8827200000045401","23","25","03",,N,N,,0,A6156,N,2025-06-05 12:23:53.000,"9999",,,"400","641",,N,,
b57,b57,"400",HDFC BANK,Crawford Market,hdfc,"50200031199781","31","33","01",,N,N,0,0,A6069,N,2019-02-19 12:59:39.000,"0010",,,"240","002",,N,,
b61,b61,,STATE BANK OF INDIA,SIYAGANJ,SBI,A6056,"32","34","09",,N,N,,0,A6056,N,2022-04-13 09:51:32.000,"0010",,,"002","000",,N,,
b62,b62,,HDFC BANK,INDORE,HDFC,A6072,"32","34","09",,N,N,,0,A6072,N,2022-04-13 09:52:54.000,"0010",,,"240","002",,N,,
b64,b64,"560",KOTAK BANK,CHIKPET,KOB,A6129,"33","35","03",,N,N,,0,A6129,N,2022-11-29 10:58:14.000,"0010",,,"485","000",,N,,
b67,b67,,DBS Bank,Chennai,DBS,"8827200000006576","33","35","05",,N,N,,0,A6130,N,2023-04-08 16:24:24.000,"0010",,,"400","641",,N,,
b68,b68,,DBS Bank,Banglore,DBS,"8827200000006576","37","39","03",,N,N,,0,A6130,N,2023-04-08 16:31:24.000,"0010",,,"400","641",,N,,
b70,b70,,AXIS BANK LTD,SRINIVASNAGAR,AXISBK,"920020058147048","36","38","03",,N,N,,0,A6138,N,2023-06-07 19:26:32.000,"51180",,,"211","002",,N,,
b76,b76,,HDFC BANK,KANDIVALIWEST,HDFCVRAJ,"50200109448721","41","43","01",,N,N,,0,A6155,N,2025-05-06 14:40:02.000,"49673",,,"400","641",,N,,
